Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ryan Pressly","HOU",5,3,,3.37166,66,0,3,13,66,271,57,27,25,8,19,,1,75,10.252,2.53578,4.04294,1.05659,0.277237,0.0685732,0.20866399258375168,0.22863,1.15261,0.295184,0.750451,,,3.40238,1.04476,1.22512,305.05999755859375,,,,"7005"
"Patrick Corbin","WSN",8,14,,5.17336,29,29,0,0,164,728,187,102,94,28,55,,5,121,6.6543,3.04422,2.18588,1.53086,0.166663,0.0762452,0.09041772037744522,0.280718,1.4798,0.307707,0.69263,,,5.09682,1.03805,0.704795,641.3900146484375,,,,"9323"
"Robert Stephenson","LAA",3,3,,3.6147,56,0,7,10,56,229,45,24,22,8,18,,2,75,12.0227,2.96585,4.0537,1.35134,0.326453,0.0805322,0.24592118710279465,0.215221,1.13332,0.290675,0.756328,,,3.60726,1.0319,1.0208,323.1600036621094,,,,"13594"
"Lance McCullers Jr.","HOU",5,4,,3.82888,32,11,0,1,85,361,76,39,36,9,35,,5,86,9.13473,3.70593,2.4649,0.963325,0.238205,0.096639,0.1415661722421646,0.234948,1.3035,0.293516,0.731719,,,4.01297,1.02201,1.22509,688.9099731445312,,,,"14120"
"Jake Irvin","WSN",5,7,,4.93783,23,23,0,0,117,514,119,69,64,18,47,,8,97,7.40516,3.61413,2.04895,1.38318,0.187712,0.0916138,0.09609811753034592,0.259418,1.41728,0.293319,0.687477,,,5.0112,1.00739,0.864734,622.6699829101562,,,,"21504"
"Matt Manning","DET",5,7,,4.68516,21,21,0,0,108,467,111,61,56,15,38,,4,84,6.97829,3.12777,2.23108,1.26961,0.179369,0.0803959,0.09897353500127792,0.259964,1.37109,0.29213,0.690305,,,4.69444,1.00739,0.830122,417.07000732421875,,,,"20369"
"Quinn Priester","PIT",5,7,,4.54248,32,15,0,1,97,426,98,53,49,11,39,,5,79,7.32449,3.64584,2.009,1.03254,0.185875,0.0925212,0.09335362911224365,0.256734,1.41069,0.298118,0.69039,,,4.50337,1.00554,0.873539,711.1699829101562,,,,"25977"
"Adrian Houser","NYM",7,8,,4.55679,24,24,0,0,128,559,133,70,65,16,49,,5,92,6.4854,3.43435,1.88839,1.13116,0.164914,0.0873303,0.07758358120918274,0.263703,1.42345,0.295103,0.703527,,,4.7038,0.992303,0.907912,532.5999755859375,,,,"12718"
"Casey Mize","DET",6,8,,4.6174,23,23,0,0,120,515,122,67,62,17,36,,8,94,7.00065,2.66824,2.6237,1.30315,0.181842,0.0693077,0.1125347763299942,0.259503,1.31292,0.291108,0.684553,,,4.66371,0.985674,0.997819,411.8299865722656,,,,"20492"
"Brock Stewart","MIN",3,2,,3.30965,63,0,2,14,63,263,50,25,23,7,25,,3,84,12.036,3.54371,3.39644,0.993463,0.320336,0.0943155,0.22602096945047379,0.210708,1.17996,0.295952,0.764205,,,3.34583,0.982968,1.05317,545.5800170898438,,,,"16727"
"Robert Gasser","MIL",5,5,,4.40501,22,16,0,1,94,408,90,50,46,14,33,,7,90,8.58301,3.14132,2.73229,1.35536,0.220787,0.0808067,0.1399807706475258,0.244399,1.30157,0.287104,0.710735,,,4.57123,0.965439,1.02151,999,,,,"sa3017310"
"Aaron Ashby","MIL",6,5,,3.78282,50,10,0,1,89,387,79,41,37,10,41,,5,100,10.1473,4.17689,2.42939,0.988689,0.259413,0.106781,0.15263189375400543,0.231838,1.35238,0.300072,0.74716,,,3.97257,0.948062,1.08578,462.95001220703125,,,,"23550"
"Daniel Lynch IV","KCR",5,6,,4.7701,24,16,0,1,91,400,96,52,48,13,33,,4,76,7.48385,3.24369,2.3072,1.27562,0.189607,0.0821806,0.10742636024951935,0.264841,1.41562,0.303374,0.69548,,,4.63833,0.945211,0.834639,723.3099975585938,,,,"21537"
"Alek Manoah","TOR",6,7,,4.57285,19,19,0,0,105,455,98,57,53,15,42,,9,95,8.12774,3.57986,2.27041,1.27066,0.208595,0.0918757,0.11671976000070572,0.24386,1.33545,0.284372,0.69338,,,4.73674,0.938525,0.91163,492.80999755859375,,,,"26410"
"Bryan Abreu","HOU",3,2,,3.24662,67,0,2,16,67,281,49,26,24,7,31,,4,92,12.3169,4.20615,2.92832,0.919264,0.326572,0.111522,0.21504967659711838,0.201307,1.20602,0.289506,0.766219,,,3.40964,0.937313,1.2344,405.6600036621094,,,,"16609"
"Adbert Alzolay","CHC",4,3,,3.69267,67,0,29,4,67,277,59,30,27,9,19,,4,71,9.57195,2.49558,3.83556,1.16241,0.257693,0.0671853,0.1905078887939453,0.232959,1.16064,0.290168,0.728721,,,3.81294,0.931747,1.03424,119.30000305175781,,,,"17859"
"Camilo Doval","SFG",5,3,,3.47797,66,0,36,2,66,279,54,28,26,6,29,,4,81,11.0179,3.91522,2.81411,0.859113,0.289155,0.102752,0.18640320003032684,0.217364,1.2466,0.296645,0.743076,,,3.54762,0.927996,1.04589,57.290000915527344,,,,"21992"
"José Urquidy","HOU",6,6,,4.52145,35,16,0,1,109,460,109,59,55,18,29,,4,88,7.29229,2.42559,3.0064,1.4752,0.191811,0.063801,0.12801024317741394,0.255449,1.27098,0.284278,0.703158,,,4.67675,0.919989,0.934905,517.7000122070312,,,,"18413"
"Bryce Elder","ATL",7,5,,4.39862,37,16,0,1,111,483,114,59,54,14,40,,5,90,7.31521,3.27851,2.23126,1.11062,0.186695,0.0836728,0.10302264243364334,0.26096,1.39259,0.301207,0.70787,,,4.47311,0.911268,1.10173,491.2200012207031,,,,"27779"
"Luis Gil","NYY",5,5,,4.29267,35,16,0,1,101,437,85,52,48,15,51,,4,119,10.5829,4.55873,2.32145,1.33189,0.271515,0.116959,0.15455586463212967,0.222709,1.35,0.282318,0.73139,,,4.45742,0.900361,0.90354,506.8500061035156,,,,"21052"
