"last_name, first_name","player_id","year","woba","xwoba","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break"
"Irvin, Cole","608344","2021",".323",".338","40.5","90.8","1956","8.2","-16.6","18.6","14.8","83","2008","-2.5","-38","3.9","22","84.2","1584","12.8","-29.5","15.8","3.3","76.9","2056","-3.9","-51.9","7.4","19.2","90.5","1888","14.3","-20.9","19.1","0.1","90.7","1799","1.3","-15.9","17.7",,,,,,,,,,,,
"Wacha, Michael","608379","2021",".334",".355","35.9","93.8","2091","-6.8","-12.6","20",,,,,,,"29.4","86.9","1554","-13.8","-26.8","17.3","6.3","76.2","2191","11.3","-56.4","14.7","3.5","94.1","2072","-12.9","-15.9","19.9","24.9","89.1","2066","2.2","-24.6","10.4",,,,,,,,,,,,
"Márquez, Germán","608566","2021",".303",".310","45.5","94.8","2078","-6","-18.6","13.2","26.9","86.2","2420","1.5","-34.9","3.3","2.1","86.1","1670","-10.8","-29.1","13.7","18.2","85.2","2683","4","-40.3","5.7","7.4","94","2057","-12.5","-21.6","15.7",,,,,,,,,,,,,,,,,,
"Quantrill, Cal","615698","2021",".296",".308","14.7","94.4","2163","-8.5","-14.5","18.2","4.7","86.7","2309","3.7","-34.6","4.7","14","85","1354","-10.8","-28.3","14.6","4.2","81.3","2353","3.9","-43.2","5.1","36.5","94.3","2087","-13.3","-16.6","19.5","25.9","88.4","2207","2.6","-28.5","7",,,,,,,,,,,,
"Kaprielian, James","621076","2021",".314",".324","52.8","93","2035","-8.5","-16.3","17.6","17.4","85.3","2274","0.8","-32.9","5.3","15.7","83.8","1291","-9.6","-36.5","10.4","8.1","78","2443","6.8","-51.2","9.6","6","92.4","1983","-17","-22.3","19.8",,,,,,,,,,,,,,,,,,
"Buehler, Walker","621111","2021",".255",".272","44.4","95.3","2472","-3.1","-12","18.4","13.8","84.9","2798","14.2","-37.1","14.6","4.8","91.5","1522","-13","-27.1","14.4","13.2","80.1","2861","10.7","-57.7","18.4","7.4","95.3","2341","-13.3","-16.6","19.1","16.4","91.6","2617","5.9","-24","10.8",,,,,,,,,,,,
"McCullers Jr., Lance","621121","2021",".283",".284",,,,,,,"25.9","86","2797","13.7","-32.5","14.8","13.7","85.8","1682","-17.2","-37.6","17.5","24.9","84.2","2923","11.9","-49.3","16","34","93.9","2115","-13.7","-24.9","15.2","1.5","89.8","2538","2.9","-28","7.5",,,,,,,,,,,,
"Mills, Alec","621219","2021",".343",".334","17.3","88.7","2167","-9.3","-20.7","17","12.6","76.6","2528","16.6","-50.5","17.1","16.8","79.1","1746","-15","-39.6","15.8","10.4","65.8","2317","12.5","-74.3","16.6","42.9","89.1","2157","-16.2","-26.9","17.9",,,,,,,,,,,,,,,,,,
"Berríos, José","621244","2021",".286",".311","26.7","94.1","2231","-9.9","-16.5","17.7",,,,,,,"13.2","84.8","1521","-13.9","-33.6","14.9",,,,,,,"29.5","93.8","2134","-16.2","-19.8","19.9",,,,,,,,,,,,,,,,,,
"Wood, Alex","622072","2021",".298",".304",,,,,,,"31.6","83.9","2117","-3.9","-41.3","5.4","22","85.3","1662","14.5","-36.2","14.7",,,,,,,"46.4","91.8","2098","16","-20.9","19.9",,,,,,,,,,,,,,,,,,
"Castillo, Luis","622491","2021",".318",".293","28.5","97.1","2325","-11.3","-16.2","17.2","17.4","86.4","2441","0.5","-36.8","2.7","30.5","88.3","1971","-16.8","-34.1","16.9",,,,,,,"23.6","97.3","2142","-17.6","-24.5","18.2",,,,,,,,,,,,,,,,,,
"Senzatela, Antonio","622608","2021",".323",".319","54.5","94.6","2096","-4.9","-19.3","12.2","31.9","86.1","2083","5","-34.1","5.9","6.2","86","2016","-7.5","-28.7","11.4","5.8","77.8","2158","6.6","-51.1","9.2","1.6","94.3","2119","-10.5","-18.2","16.5",,,,,,,,,,,,,,,,,,
"Flexen, Chris","623167","2021",".311",".317","40","92.8","2107","-2","-13.5","18.6",,,,,,,"15.3","82.7","1326","-12.2","-30.2","15.7","15.3","77.2","2708","7.9","-59.1","15.5",,,,,,,"29.4","89.1","2299","5","-27","9.1",,,,,,,,,,,,
"Urías, Julio","628711","2021",".266",".273","48.3","94.1","2499","3.8","-13.5","17.8",,,,,,,"17.3","86.8","1921","14.6","-28.9","16.4",,,,,,,"0.1","94.7","2481","10.2","-13.3","20",,,,,,,,,,,,,,,,,,
"Crowe, Wil","640444","2021",".369",".347","34.9","93.7","2407","-3.1","-14.5","17","24.7","85.3","2716","6.5","-37.6","7.1","18.2","85.1","1714","-9.7","-32.7","11.4","10.5","80.4","2440","4.9","-55.3","14","11.7","92.9","2222","-11.7","-19","17.4",,,,,,,,,,,,,,,,,,
"Manaea, Sean","640455","2021",".310",".312","0.8","92.1","1957","7.9","-18.8","15.8","14.9","82.8","2010","-4.4","-37.2","6.1","24.3","84.5","1371","12.2","-31.7","14.2",,,,,,,"59.3","92.1","1997","13.9","-20.1","18.7",,,,,,,,,,,,,"0.7","78.2","2109","-14.9","-44","15.3"
